Chromosome Basepair
10 125869346
10 129154362
10 130844284
10 132580245
11 70855
11 3665481
11 6322869
11 8333274
11 12564229
11 17578402
11 21017138
11 24088517
11 28481593
11 33958739
11 37116815
11 44693799
11 62223771
11 69516130
11 74412351
11 80722373
11 86619301
11 93276157
11 97057058
11 101331121
11 107844200
11 112459488
11 116383348
11 120766806
11 123500117
11 127316679
11 130342575
11 133000046
12 61107
12 2544786
12 4417679
12 6419753
12 9031395
12 12733528
12 16310460
12 20863943
12 25371083
12 29651255
12 40816185
12 47714793
12 53039004
12 57548860
12 65559695
12 69826542
12 76511314
12 80448150
12 89682122
12 94514567
12 97108839
12 101447641
12 104848696
12 109025901
12 115036602
12 117087471
12 119754110
12 126445505
12 129237297
12 130377921
13 19020013
13 22242174
13 23594702
13 25784362
13 29257551
13 32301815
13 36046367
13 41069263
13 46495214
13 51591091
13 60854778
13 70724516
13 73934089
13 77410555
13 82581814
13 93129691
13 97519210
13 100574095
13 104066710
13 106247554
13 108189877
13 109815112
14 19002084
14 21589402
14 24905123
14 28466533
14 32383265
14 34846251
14 40341990
14 48573586
14 53474383
14 57481262
14 63790015
14 71131957
14 76444767
14 80186579
14 85746319
14 91296860
14 94325285
14 96262415
14 98341162
14 101534307
15 20001200
15 27298112
15 30165568
15 34015425
15 37456502
15 41177514
15 50008043
15 55136269
15 59694116
15 63215222
15 69017999
15 71922649
15 80860978
15 86652905
15 90475551
15 93780902
15 94924330
15 98030910
15 100636847
16 60054
16 2764829
16 5891580
16 7529121
16 9799419
16 12613098
16 16154060
16 20150571
16 24136875
16 27445755
16 52035823
16 55903774
16 59045405
16 63691589
16 71054028
16 75977954
16 79134815
16 81772536
16 83477208
16 85148685
16 86156599
16 87647349
17 56
17 1172399
17 3702312
17 5741334
17 7317398
17 9965921
17 12534769
17 13894637
17 16412342
17 27334244
17 32912798
17 36809344
17 43056905
17 49898957
17 55357541
17 61545589
17 67858770
17 72672203
17 76263413
18 10644
18 1942911
18 3891658
18 5834180
18 7090485
18 11075913
18 14440799
18 24026191
18 30264066
18 36365490
18 42922106
18 45939732
18 51062185
18 56530220
18 60277715
18 63463402
18 67175820
18 71038474
18 73526987
19 80840
19 2098396
19 4348967
19 6684885
19 8347513
19 13471127
19 15648610
19 18409862
19 29790947
19 32746520
19 36469295
19 42131573
19 46102697
19 49282227
19 51532567
19 54602362
19 55728080
20 60479
20 2469501
20 5477850
20 7084073
20 9730921
20 11249536
20 15958359
20 18972203
20 22491456
20 34960446
20 40585689
20 42680176
20 47199980
20 52472549
20 56447959
20 58406572
21 9411243
21 18053165
21 20962339
21 23362875
21 27271019
21 31197025
21 34376999
21 37870779
21 40482902
21 43321528
22 16050408
22 18296088
22 22357325
22 26791628
22 27834752
22 34494914
22 37570269
22 43714200
22 46470495
22 48903703
